country_iso3,year,country_name,lending_rate_pct,lending_imputed,corporate_tax_rate_pct,corp_tax_imputed,total_tax_rate_pct,total_tax_imputed,electricity_kwh_per_capita,electricity_imputed,lending_rate_pct_z,corporate_tax_rate_pct_z,total_tax_rate_pct_z,electricity_kwh_per_capita_z
JPN,2022,Japan,0.994,True,29.74,False,46.685424410263,True,7800.08060580129,False,-1.3844682418072227,0.5903679576265165,0.2683390783518028,0.3521644089436093
JPN,2023,Japan,0.994,True,29.74,False,46.685424410263,True,7655.01641748312,False,-1.3844682418072227,0.5903679576265165,0.2683390783518028,0.3141035673457722
JPN,2024,Japan,0.994,True,29.74,True,46.685424410263,True,7530.06014396198,False,-1.3844682418072227,0.5903679576265165,0.2683390783518028,0.28131848793862835
KOR,2015,South Korea,3.53333333333333,False,24.2,False,33.142633263098,False,10429.080716285,False,-0.4108236624188009,-0.6870484768472823,-1.250261369067561,1.0419415202065898
KOR,2016,South Korea,3.3675,False,24.2,False,33.092499401189,False,10609.8069063993,False,-0.4744083537086054,-0.6870484768472823,-1.2558830540140797,1.0893590873833634
KOR,2017,South Korea,3.47666666666666,False,24.2,False,33.108020839718,False,10811.7667195054,False,-0.43255109461833385,-0.6870484768472823,-1.2541425809285396,1.142347771529864
KOR,2018,South Korea,3.6625,False,27.5,False,33.430067778211,False,11161.8174394609,False,-0.36129789784633787,0.0738674498248364,-1.21803033349217,1.2341914247284962
KOR,2019,South Korea,3.44583333333333,False,27.5,False,33.430067778211,True,10943.203861495,False,-0.4443733739033718,0.0738674498248364,-1.21803033349217,1.1768332520563625
KOR,2020,South Korea,2.80166666666667,False,27.5,False,33.430067778211,True,11104.6636697543,False,-0.6913631546421626,0.0738674498248364,-1.21803033349217,1.2191958520737827
KOR,2021,South Korea,2.88416666666667,False,27.5,False,33.430067778211,True,11726.219930218,False,-0.6597305695281386,0.0738674498248364,-1.21803033349217,1.3822750699560478
KOR,2022,South Korea,4.2925,False,27.5,False,33.430067778211,True,11705.6305058105,False,-0.11973997515742735,0.0738674498248364,-1.21803033349217,1.376872972925417
KOR,2023,South Korea,5.18916666666667,False,26.5,False,33.430067778211,True,11426.0699114852,False,0.22406468729398574,-0.15671313401519954,-1.21803033349217,1.3035239843089088
KOR,2024,South Korea,4.72666666666667,False,26.5,True,33.430067778211,True,11350.1625522103,False,0.046730498018396974,-0.15671313401519954,-1.21803033349217,1.283607987046129
MYS,2015,Malaysia,4.565375,False,25.0,False,39.287449350922,False,4475.45557717884,False,-0.015112803484829865,-0.5025840097752534,-0.5612216904018628,-0.5201254928829306
MYS,2016,Malaysia,4.53106666666667,False,24.0,False,38.501743095297,False,4567.39347999202,False,-0.028267485597397973,-0.7331645936152894,-0.6493256756414265,-0.4960035231784928
MYS,2017,Malaysia,4.60807808641975,False,24.0,False,38.524747372647,False,4699.08742969233,False,0.0012606391309793723,-0.7331645936152894,-0.6467461257172901,-0.461450663392428
MYS,2018,Malaysia,4.92844038461538,False,24.0,False,37.852485172531,False,4778.80215430923,False,0.12409564113094998,-0.7331645936152894,-0.7221292329944777,-0.4405357184853879
MYS,2019,Malaysia,4.87689294871795,False,24.0,False,37.852485172531,True,4916.27003298625,False,0.1043310513923423,-0.7331645936152894,-0.7221292329944777,-0.4044679390025493
MYS,2020,Malaysia,3.94420769234615,False,24.0,False,37.852485172531,True,4738.24415178268,False,-0.25328404868979393,-0.7331645936152894,-0.7221292329944777,-0.4511770196058405
MYS,2021,Malaysia,3.44410640384615,False,24.0,False,37.852485172531,True,4860.54082737909,False,-0.4450355223153614,-0.7331645936152894,-0.7221292329944777,-0.4190897453324147
MYS,2022,Malaysia,3.90802666666667,False,24.0,False,37.852485172531,True,5240.96890624958,False,-0.2671567683785072,-0.7331645936152894,-0.7221292329944777,-0.31927591107649644
MYS,2023,Malaysia,5.31737500641025,False,24.0,False,37.852485172531,True,5083.71249369916,False,0.2732230051032769,-0.7331645936152894,-0.7221292329944777,-0.3605356560053965
MYS,2024,Malaysia,5.282681,False,24.0,True,37.852485172531,True,5083.71249369916,True,0.2599204461854741,-0.7331645936152894,-0.7221292329944777,-0.3605356560053965
USA,2015,United States,3.26,False,38.9975,False,43.838833301099,False,12828.8160828838,False,-0.515626570675364,2.72496771252565,-0.05085911979078336,1.6715658866595737
