country,iso3,year,indicator,value,data_source,retrieval_date
Viet Nam,VNM,2022,population_STEM_tertiary_pct,13.6453872287959,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2021,population_STEM_tertiary_pct,13.3732328433503,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2020,population_STEM_tertiary_pct,13.68091165921,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2019,population_STEM_tertiary_pct,13.5181303024292,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2018,population_STEM_tertiary_pct,12.0348956584879,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2017,population_STEM_tertiary_pct,11.7225687327882,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2016,population_STEM_tertiary_pct,11.2153894844858,WorldBank_talent_API_real,2026-04-26
Viet Nam,VNM,2015,population_STEM_tertiary_pct,10.4668633050632,WorldBank_talent_API_real,2026-04-26
China,CHN,2023,ICT_service_exports_pct,17.6348809089749,WorldBank_talent_API_real,2026-04-26
China,CHN,2022,ICT_service_exports_pct,15.0052134014711,WorldBank_talent_API_real,2026-04-26
China,CHN,2021,ICT_service_exports_pct,14.9436992366028,WorldBank_talent_API_real,2026-04-26
China,CHN,2020,ICT_service_exports_pct,17.0321611541755,WorldBank_talent_API_real,2026-04-26
China,CHN,2019,ICT_service_exports_pct,14.301697198836,WorldBank_talent_API_real,2026-04-26
China,CHN,2018,ICT_service_exports_pct,12.8542282709365,WorldBank_talent_API_real,2026-04-26
China,CHN,2017,ICT_service_exports_pct,12.6067554934971,WorldBank_talent_API_real,2026-04-26
China,CHN,2016,ICT_service_exports_pct,12.2034646075309,WorldBank_talent_API_real,2026-04-26
China,CHN,2015,ICT_service_exports_pct,11.2921105625466,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2023,ICT_service_exports_pct,11.0217257925332,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2022,ICT_service_exports_pct,9.81289802513948,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2021,ICT_service_exports_pct,10.3615375526681,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2020,ICT_service_exports_pct,10.7433868234345,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2019,ICT_service_exports_pct,9.13282868187376,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2018,ICT_service_exports_pct,9.23094018156375,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2017,ICT_service_exports_pct,8.97652232797755,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2016,ICT_service_exports_pct,8.54119625243336,WorldBank_talent_API_real,2026-04-26
Germany,DEU,2015,ICT_service_exports_pct,7.90651226650454,WorldBank_talent_API_real,2026-04-26
India,IND,2023,ICT_service_exports_pct,48.1688192762241,WorldBank_talent_API_real,2026-04-26
India,IND,2022,ICT_service_exports_pct,46.8040630285381,WorldBank_talent_API_real,2026-04-26
India,IND,2021,ICT_service_exports_pct,49.6661074598785,WorldBank_talent_API_real,2026-04-26
India,IND,2020,ICT_service_exports_pct,48.9656874345531,WorldBank_talent_API_real,2026-04-26
India,IND,2019,ICT_service_exports_pct,43.95814821332,WorldBank_talent_API_real,2026-04-26
India,IND,2018,ICT_service_exports_pct,41.3042841946734,WorldBank_talent_API_real,2026-04-26
India,IND,2017,ICT_service_exports_pct,42.3751022077091,WorldBank_talent_API_real,2026-04-26
India,IND,2016,ICT_service_exports_pct,47.300749949433,WorldBank_talent_API_real,2026-04-26
India,IND,2015,ICT_service_exports_pct,48.8670014249962,WorldBank_talent_API_real,2026-04-26
Japan,JPN,2023,ICT_service_exports_pct,5.63535631404314,WorldBank_talent_API_real,2026-04-26
Japan,JPN,2022,ICT_service_exports_pct,6.57426471119376,WorldBank_talent_API_real,2026-04-26
Japan,JPN,2021,ICT_service_exports_pct,6.1414834752509,WorldBank_talent_API_real,2026-04-26
Japan,JPN,2020,ICT_service_exports_pct,6.23382531768652,WorldBank_talent_API_real,2026-04-26
Japan,JPN,2019,ICT_service_exports_pct,3.55938118314782,WorldBank_talent_API_real,2026-04-26
Japan,JPN,2018,ICT_service_exports_pct,2.51864696560354,WorldBank_talent_API_real,2026-04-26
Japan,JPN,2017,ICT_service_exports_pct,2.70981928379376,WorldBank_talent_API_real,2026-04-26
Japan,JPN,2016,ICT_service_exports_pct,2.19612409842727,WorldBank_talent_API_real,2026-04-26
Japan,JPN,2015,ICT_service_exports_pct,1.99904019843307,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2023,ICT_service_exports_pct,11.8969785463805,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2022,ICT_service_exports_pct,10.9135787581539,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2021,ICT_service_exports_pct,12.3007370140488,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2020,ICT_service_exports_pct,10.1487956594415,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2019,ICT_service_exports_pct,7.38567145838409,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2018,ICT_service_exports_pct,6.37563598659304,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2017,ICT_service_exports_pct,5.1052771810442,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2016,ICT_service_exports_pct,3.92251376713839,WorldBank_talent_API_real,2026-04-26
"Korea, Rep.",KOR,2015,ICT_service_exports_pct,3.5916413158753,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2023,ICT_service_exports_pct,9.44804679894627,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2022,ICT_service_exports_pct,11.4134438785672,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2021,ICT_service_exports_pct,15.8604588851962,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2020,ICT_service_exports_pct,14.3449051224118,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2019,ICT_service_exports_pct,7.29165008840823,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2018,ICT_service_exports_pct,7.04103889445774,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2017,ICT_service_exports_pct,7.22150714777401,WorldBank_talent_API_real,2026-04-26
Malaysia,MYS,2016,ICT_service_exports_pct,7.23565668041784,WorldBank_talent_API_real,2026-04-26
