country_iso3,country,year,corporate_tax_rate_pct,data_source,retrieval_date
JPN,Japan,2020,29.74,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2021,29.74,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2022,29.74,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
JPN,Japan,2023,29.74,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,1997,30.8,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,1998,30.8,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,1999,30.8,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2000,30.8,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2001,30.8,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2002,29.7,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2003,29.7,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2004,29.7,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2005,27.5,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2006,27.5,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2007,27.5,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2008,27.5,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2009,24.2,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2010,24.2,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2011,24.2,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2012,24.2,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2013,24.2,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2014,24.2,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2015,24.2,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2016,24.2,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2017,24.2,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2018,27.5,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2019,27.5,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2020,27.5,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2021,27.5,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2022,27.5,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
KOR,Republic of Korea,2023,26.5,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1980,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1981,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1982,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1983,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1984,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1985,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1986,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1987,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1988,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1989,35.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1990,35.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1991,35.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1992,35.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1993,34.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1994,32.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1995,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1996,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1997,30.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1998,28.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,1999,28.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2000,28.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2001,28.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2002,28.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2003,28.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2004,28.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2005,28.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2006,28.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2007,27.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2008,26.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2009,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2010,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2011,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2012,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2013,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2014,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2015,25.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2016,24.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2017,24.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2018,24.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2019,24.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2020,24.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2021,24.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2022,24.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
MYS,Malaysia,2023,24.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1980,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1981,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1982,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
SGP,Singapore,1983,40.0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01
