iso_2,iso_3,continent,country,year,rate,gdp,oecd,eu27,gseven,gtwenty,brics,data_source,retrieval_date,notes
CN,CHN,AS,China,1977,,327.320892333984,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1978,,364.394287109375,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,1979,,392.088256835938,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2024,,18214.2712671585,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2025,,19137.5872025674,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2026,,20094.4665626958,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2027,,21059.0009960323,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2028,,22027.7150217664,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2029,,23018.9621977458,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2030,,24008.7776161541,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2031,,25041.1550994418,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
CN,CHN,AS,China,2032,,26117.92481648,0,0,0,1,1,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1980,,1857.431640625,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1981,60.0,1867.26171875,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1982,60.0,1859.88916015625,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1983,60.0,1889.13415527344,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1984,60.0,1942.46337890625,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1985,60.0,1987.68273925781,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1986,60.0,2033.14782714844,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1987,60.0,2061.65551757812,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1988,60.0,2138.08618164062,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1989,60.0,2221.39770507812,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
DE,DEU,EU,Germany,1990,54.54545455,2338.13232421875,1,1,1,1,0,TaxFoundation_worldwide_corporate_tax_rates,2026-05-01,Statutory top corporate income tax rate; sourced from OECD/PwC/Bloomberg/national authorities
