country_iso3,country,year,indicator_code,indicator,value,data_source,retrieval_date
IND,India,2022,FR.INR.RINR,real_interest_rate_pct,2.52131544946588,WorldBank_API_real_supplementary,2026-04-29
IND,India,2021,FR.INR.RINR,real_interest_rate_pct,0.316945144211866,WorldBank_API_real_supplementary,2026-04-29
IND,India,2020,FR.INR.RINR,real_interest_rate_pct,4.13599957786408,WorldBank_API_real_supplementary,2026-04-29
IND,India,2019,FR.INR.RINR,real_interest_rate_pct,6.89487542729716,WorldBank_API_real_supplementary,2026-04-29
IND,India,2018,FR.INR.RINR,real_interest_rate_pct,5.36166638954869,WorldBank_API_real_supplementary,2026-04-29
IND,India,2017,FR.INR.RINR,real_interest_rate_pct,5.32760886237311,WorldBank_API_real_supplementary,2026-04-29
IND,India,2016,FR.INR.RINR,real_interest_rate_pct,6.2327114148242,WorldBank_API_real_supplementary,2026-04-29
IND,India,2015,FR.INR.RINR,real_interest_rate_pct,7.55648841353986,WorldBank_API_real_supplementary,2026-04-29
IND,India,2014,FR.INR.RINR,real_interest_rate_pct,6.69517609043592,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2017,FR.INR.RINR,real_interest_rate_pct,1.06914440735818,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2016,FR.INR.RINR,real_interest_rate_pct,0.622192760322802,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2015,FR.INR.RINR,real_interest_rate_pct,-0.948441229747697,WorldBank_API_real_supplementary,2026-04-29
JPN,Japan,2014,FR.INR.RINR,real_interest_rate_pct,-0.459381591769699,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2024,FR.INR.RINR,real_interest_rate_pct,0.634469260614762,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2023,FR.INR.RINR,real_interest_rate_pct,3.08772627466291,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2022,FR.INR.RINR,real_interest_rate_pct,2.44052857732634,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2021,FR.INR.RINR,real_interest_rate_pct,-0.287216232726007,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2020,FR.INR.RINR,real_interest_rate_pct,1.19550220518032,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2019,FR.INR.RINR,real_interest_rate_pct,4.09560933285802,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2018,FR.INR.RINR,real_interest_rate_pct,3.07847583379285,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2017,FR.INR.RINR,real_interest_rate_pct,1.42899755923416,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2016,FR.INR.RINR,real_interest_rate_pct,1.27867160404439,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2015,FR.INR.RINR,real_interest_rate_pct,0.295335527644416,WorldBank_API_real_supplementary,2026-04-29
KOR,"Korea, Rep.",2014,FR.INR.RINR,real_interest_rate_pct,3.17863075274962,WorldBank_API_real_supplementary,2026-04-29
