country_iso3,country_name,year,cci,lending_rate_pct_z,corporate_tax_rate_pct_z,total_tax_rate_pct_z,electricity_kwh_per_capita_z
JPN,Japan,2022,-0.043399199221323514,-1.3844682418072227,0.5903679576265165,0.2683390783518028,0.3521644089436093
JPN,Japan,2023,-0.052914409620782754,-1.3844682418072227,0.5903679576265165,0.2683390783518028,0.3141035673457722
JPN,Japan,2024,-0.061110679472568735,-1.3844682418072227,0.5903679576265165,0.2683390783518028,0.28131848793862835
KOR,South Korea,2015,-0.3265479970317636,-0.4108236624188009,-0.6870484768472823,-1.250261369067561,1.0419415202065898
KOR,South Korea,2016,-0.331995199296651,-0.4744083537086054,-0.6870484768472823,-1.2558830540140797,1.0893590873833634
KOR,South Korea,2017,-0.307848595216073,-0.43255109461833385,-0.6870484768472823,-1.2541425809285396,1.142347771529864
KOR,South Korea,2018,-0.06781733919629385,-0.36129789784633787,0.0738674498248364,-1.21803033349217,1.2341914247284962
KOR,South Korea,2019,-0.10292575137858573,-0.4443733739033718,0.0738674498248364,-1.21803033349217,1.1768332520563625
KOR,South Korea,2020,-0.1540825465589284,-0.6913631546421626,0.0738674498248364,-1.21803033349217,1.2191958520737827
KOR,South Korea,2021,-0.10540459580985612,-0.6597305695281386,0.0738674498248364,-1.21803033349217,1.3822750699560478
KOR,South Korea,2022,0.028242528525164012,-0.11973997515742735,0.0738674498248364,-1.21803033349217,1.376872972925417
KOR,South Korea,2023,0.03821130102388126,0.22406468729398574,-0.15671313401519954,-1.21803033349217,1.3035239843089088
KOR,South Korea,2024,-0.011101245610710908,0.046730498018396974,-0.15671313401519954,-1.21803033349217,1.283607987046129
MYS,Malaysia,2015,-0.3997609991362192,-0.015112803484829865,-0.5025840097752534,-0.5612216904018628,-0.5201254928829306
MYS,Malaysia,2016,-0.47669031950815166,-0.028267485597397973,-0.7331645936152894,-0.6493256756414265,-0.4960035231784928
MYS,Malaysia,2017,-0.46002518589850705,0.0012606391309793723,-0.7331645936152894,-0.6467461257172901,-0.461450663392428
MYS,Malaysia,2018,-0.44293347599105126,0.12409564113094998,-0.7331645936152894,-0.7221292329944777,-0.4405357184853879
MYS,Malaysia,2019,-0.4388576785549935,0.1043310513923423,-0.7331645936152894,-0.7221292329944777,-0.4044679390025493
MYS,Malaysia,2020,-0.5399387237263504,-0.25328404868979393,-0.7331645936152894,-0.7221292329944777,-0.4511770196058405
MYS,Malaysia,2021,-0.5798547735643859,-0.4450355223153614,-0.7331645936152894,-0.7221292329944777,-0.4190897453324147
MYS,Malaysia,2022,-0.5104316265161928,-0.2671567683785072,-0.7331645936152894,-0.7221292329944777,-0.31927591107649644
MYS,Malaysia,2023,-0.3856516193779717,0.2732230051032769,-0.7331645936152894,-0.7221292329944777,-0.3605356560053965
MYS,Malaysia,2024,-0.3889772591074224,0.2599204461854741,-0.7331645936152894,-0.7221292329944777,-0.3605356560053965
USA,United States,2015,0.9575119771797691,-0.515626570675364,2.72496771252565,-0.05085911979078336,1.6715658866595737
USA,United States,2016,0.9715947508767114,-0.4191312100245017,2.708004821294874,-0.06812605732778787,1.6656314495642617
USA,United States,2017,1.0131780616971227,-0.19482742467051337,2.7039788843010273,-0.06906221081782901,1.612622997975806
USA,United States,2018,0.1605326465320038,0.11478848417281227,-0.309223743778676,-0.8941882282850393,1.7307540740189182
USA,United States,2019,0.17486706992257545,0.25985104621086014,-0.2982571006306605,-0.8941882282850393,1.6320625623951415
USA,United States,2020,-0.017337745901138346,-0.4066698886159468,-0.32582762104041346,-0.8941882282850393,1.557334754336846
USA,United States,2021,-0.035558457954961875,-0.5194608234164577,-0.32859527978824543,-0.8941882282850393,1.600010499669895
USA,United States,2022,-0.005449331414007219,-0.5194608234164577,-0.31627489803250447,-0.8941882282850393,1.7081266240779727
USA,United States,2023,-0.035103340848658404,-0.5194608234164577,-0.3254981213861057,-0.8941882282850393,1.598733809692969
USA,United States,2024,-0.01647032304002466,-0.5194608234164577,-0.3254981213861057,-0.8941882282850393,1.673265880927504
VNM,Vietnam,2015,-0.5125945163590832,0.9634364242015753,-1.1943257612953613,-0.5489870475149594,-1.2705016808275875
VNM,Vietnam,2016,-0.5537082453344531,0.9030469435293478,-1.1943257612953613,-0.6985036745669355,-1.2250504890048632
VNM,Vietnam,2017,-0.6569806095408046,0.9442651604961062,-1.655486928975433,-0.7256205363808239,-1.1910801333030676
VNM,Vietnam,2018,-0.6220386226373481,1.0609702283031495,-1.655486928975433,-0.7542867499173703,-1.1393510399597386
VNM,Vietnam,2019,-0.5783936880867828,1.1896573359261102,-1.655486928975433,-0.7542867499173703,-1.0934584093804383
VNM,Vietnam,2020,-0.583263380465731,1.1666518194795477,-1.655486928975433,-0.7542867499173703,-1.0899316624496682
VNM,Vietnam,2021,-0.5610423496443265,1.2293418517964314,-1.655486928975433,-0.7542867499173703,-1.063737571480934
VNM,Vietnam,2022,-0.527160824060635,1.3069215655912285,-1.655486928975433,-0.7542867499173703,-1.0057911829409651
VNM,Vietnam,2023,-0.40417301644086423,1.8090808662498166,-1.655486928975433,-0.7542867499173703,-1.01599925312047
VNM,Vietnam,2024,-0.40417301644086423,1.8090808662498166,-1.655486928975433,-0.7542867499173703,-1.01599925312047
