country,country_iso3,year,indicator,value,data_source,retrieval_date
"Korea, Rep.",KOR,2020,electricity_from_coal_pct,37.002993775169,WorldBank_electricity_API_real,2026-04-26
"Korea, Rep.",KOR,2019,electricity_from_coal_pct,42.6555964152062,WorldBank_electricity_API_real,2026-04-26
"Korea, Rep.",KOR,2018,electricity_from_coal_pct,44.2897404901964,WorldBank_electricity_API_real,2026-04-26
"Korea, Rep.",KOR,2017,electricity_from_coal_pct,45.8433417000085,WorldBank_electricity_API_real,2026-04-26
"Korea, Rep.",KOR,2016,electricity_from_coal_pct,41.4878489370601,WorldBank_electricity_API_real,2026-04-26
"Korea, Rep.",KOR,2015,electricity_from_coal_pct,42.4711554894567,WorldBank_electricity_API_real,2026-04-26
Malaysia,MYS,2023,electricity_from_coal_pct,45.0198459991917,WorldBank_electricity_API_real,2026-04-26
Malaysia,MYS,2022,electricity_from_coal_pct,44.6440313380874,WorldBank_electricity_API_real,2026-04-26
Malaysia,MYS,2021,electricity_from_coal_pct,47.8812358670348,WorldBank_electricity_API_real,2026-04-26
Malaysia,MYS,2020,electricity_from_coal_pct,51.1008257628832,WorldBank_electricity_API_real,2026-04-26
Malaysia,MYS,2019,electricity_from_coal_pct,42.8396023839025,WorldBank_electricity_API_real,2026-04-26
Malaysia,MYS,2018,electricity_from_coal_pct,45.3218551900872,WorldBank_electricity_API_real,2026-04-26
Malaysia,MYS,2017,electricity_from_coal_pct,43.7427433816601,WorldBank_electricity_API_real,2026-04-26
Malaysia,MYS,2016,electricity_from_coal_pct,44.1412458589456,WorldBank_electricity_API_real,2026-04-26
Malaysia,MYS,2015,electricity_from_coal_pct,42.2804843931098,WorldBank_electricity_API_real,2026-04-26
United States,USA,2023,electricity_from_coal_pct,16.6638854819688,WorldBank_electricity_API_real,2026-04-26
United States,USA,2022,electricity_from_coal_pct,20.3164902183759,WorldBank_electricity_API_real,2026-04-26
United States,USA,2021,electricity_from_coal_pct,22.6659071437519,WorldBank_electricity_API_real,2026-04-26
United States,USA,2020,electricity_from_coal_pct,20.0882948834085,WorldBank_electricity_API_real,2026-04-26
United States,USA,2019,electricity_from_coal_pct,24.3530384173999,WorldBank_electricity_API_real,2026-04-26
United States,USA,2018,electricity_from_coal_pct,28.5527483493205,WorldBank_electricity_API_real,2026-04-26
United States,USA,2017,electricity_from_coal_pct,30.827999443826,WorldBank_electricity_API_real,2026-04-26
United States,USA,2016,electricity_from_coal_pct,31.3286000724658,WorldBank_electricity_API_real,2026-04-26
United States,USA,2015,electricity_from_coal_pct,34.0732643852126,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2023,electricity_from_coal_pct,44.7587002218849,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2022,electricity_from_coal_pct,40.1977454271822,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2021,electricity_from_coal_pct,45.3896147456564,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2020,electricity_from_coal_pct,49.6195668017375,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2019,electricity_from_coal_pct,50.1744205689574,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2018,electricity_from_coal_pct,41.7654257374726,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2017,electricity_from_coal_pct,34.5514848453924,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2016,electricity_from_coal_pct,37.8757737128798,WorldBank_electricity_API_real,2026-04-26
Viet Nam,VNM,2015,electricity_from_coal_pct,34.8763525865903,WorldBank_electricity_API_real,2026-04-26
China,CHN,2021,electricity_from_renewables_pct,12.856523818733,WorldBank_electricity_API_real,2026-04-26
China,CHN,2020,electricity_from_renewables_pct,10.6602772642896,WorldBank_electricity_API_real,2026-04-26
China,CHN,2019,electricity_from_renewables_pct,9.50765506036168,WorldBank_electricity_API_real,2026-04-26
China,CHN,2018,electricity_from_renewables_pct,8.56768880402383,WorldBank_electricity_API_real,2026-04-26
China,CHN,2017,electricity_from_renewables_pct,7.19946452516446,WorldBank_electricity_API_real,2026-04-26
China,CHN,2016,electricity_from_renewables_pct,5.9539883138882,WorldBank_electricity_API_real,2026-04-26
China,CHN,2015,electricity_from_renewables_pct,4.55807103746262,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2021,electricity_from_renewables_pct,35.618008802309,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2020,electricity_from_renewables_pct,40.4475013119893,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2019,electricity_from_renewables_pct,36.3478037359309,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2018,electricity_from_renewables_pct,31.9113523236134,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2017,electricity_from_renewables_pct,30.0085816163727,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2016,electricity_from_renewables_pct,26.0014236319834,WorldBank_electricity_API_real,2026-04-26
Germany,DEU,2015,electricity_from_renewables_pct,26.1924483541027,WorldBank_electricity_API_real,2026-04-26
