year_month,hs_code,segment,total_imports_usd_million,hhi_country_concentration,top1_country_share_pct,top3_country_share_pct,num_partner_countries,data_source,retrieval_date,notes
2019-06,8542,ICs,866.41,2935.2,41.88,86.72,34.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-07,3818,Raw_Materials,16.18,8802.2,93.76,98.21,9.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-07,8486,Equipment,15.94,8587.4,92.6,96.99,12.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-07,8541,Devices,263.76,3561.4,57.94,72.44,39.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-07,8542,ICs,961.29,2750.3,37.08,84.66,44.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-08,3818,Raw_Materials,14.73,8760.7,93.55,97.08,9.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-08,8486,Equipment,6.0,3408.2,50.0,91.5,13.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-08,8541,Devices,299.27,4189.3,63.39,76.78,40.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-08,8542,ICs,1098.9,3082.0,43.54,87.6,38.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-09,3818,Raw_Materials,12.32,8593.4,92.53,99.43,7.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-09,8486,Equipment,3.94,2891.6,48.98,76.4,12.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-09,8541,Devices,294.96,3906.3,60.52,77.74,35.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-09,8542,ICs,1152.24,3335.8,44.5,90.35,39.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-10,3818,Raw_Materials,12.7,8993.0,94.8,97.4,8.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-10,8486,Equipment,5.68,3134.6,51.76,78.52,12.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-10,8541,Devices,355.78,4879.1,68.97,80.54,36.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-10,8542,ICs,803.58,2931.1,39.43,86.57,36.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-11,3818,Raw_Materials,11.66,9146.9,95.63,97.43,12.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-11,8486,Equipment,6.45,4095.7,61.86,82.17,13.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-11,8541,Devices,223.49,4267.5,63.95,79.59,37.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-11,8542,ICs,727.45,2792.0,42.56,83.86,40.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-12,3818,Raw_Materials,12.25,9565.2,97.8,99.18,8.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-12,8486,Equipment,7.96,3390.9,53.39,81.28,10.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
2019-12,8541,Devices,199.88,3943.3,61.32,76.26,40.0,DGFT_TRADESTAT_MEIDB_live_aggregated,2026-05-01,Aggregated from country-level DGFT data; HHI = Σ(share²) × 10000 per US DOJ convention
