reporter_code,reporter_name,year,hs_code,segment,flow,trade_value_usd,quantity,data_source,retrieval_date,reporter_iso3
156,China,2016,3818,Raw_Materials,Import,9685476.0,19825.032,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,1329350945.0,5045426.65,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,47440795.0,166073.889,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,19856459.0,314777.632,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,170256040.0,746860.898,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,22534.0,109.704,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,102243836.0,161623.139,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,3220.0,1.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,18276.0,4.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,111265.0,14.287,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,85829.0,137.4,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,133174.0,33.159,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,549085.0,8154.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,18205.0,69.095,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,6460498.0,15414.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,13669.0,29.264,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,6280.0,3.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,51670787.0,137382.19,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,154153.0,4890.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,374986922.0,1066635.591,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,4523702.0,2001.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,391144941.0,1916861.076,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,507777.0,4093.019,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,5723800.0,6030.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,542349.0,16981.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,1375.0,3.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,1065973.0,37888.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,55628.0,209.715,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,968361.0,21.084,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,873584.0,20222.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,4363203.0,3849.949,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,210252.0,701.173,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,67301814.0,93070.032,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,9562985.0,16144.329,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,759631.0,25395.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,1049929.0,311.304,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,23657968.0,140732.404,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,29462441.0,128418.979,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,262395.0,131.0,Comtrade_API_real,2026-04-26,CHN
156,China,2017,3818,Raw_Materials,Import,13281810.0,10150.338,Comtrade_API_real,2026-04-26,CHN
156,China,2018,3818,Raw_Materials,Import,1872825821.0,4545894.194,Comtrade_API_real,2026-04-26,CHN
156,China,2019,3818,Raw_Materials,Import,2104229766.0,5747024.616,Comtrade_API_real,2026-04-26,CHN
156,China,2020,3818,Raw_Materials,Import,2231415098.0,6057022.976,Comtrade_API_real,2026-04-26,CHN
156,China,2021,3818,Raw_Materials,Import,2791788711.0,7355470.472,Comtrade_API_real,2026-04-26,CHN
156,China,2022,3818,Raw_Materials,Import,3281000134.0,7402073.949,Comtrade_API_real,2026-04-26,CHN
156,China,2023,3818,Raw_Materials,Import,2633880755.0,5092724.442,Comtrade_API_real,2026-04-26,CHN
156,China,2024,3818,Raw_Materials,Import,2532851465.0,6364757.255,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,14033544468.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,591849247.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,2479297431.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,486561.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,2102479233.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,421814.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,58000.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,90127.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,53033394.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,3621958.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,3519.0,11.042,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,10282007.0,0.0,Comtrade_API_real,2026-04-26,CHN
156,China,2016,8486,Equipment,Import,363550.0,0.0,Comtrade_API_real,2026-04-26,CHN
