country_iso3,country_name,year,indicator_code,indicator,electricity_kwh_per_capita,proxy_for,period_granularity,synopsis_aligned,source_priority,data_source,retrieval_date
KOR,"Korea, Rep.",2021,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,11726.219930218,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
KOR,"Korea, Rep.",2022,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,11705.6305058105,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
KOR,"Korea, Rep.",2023,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,11426.0699114852,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
KOR,"Korea, Rep.",2024,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,11350.1625522103,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
MYS,Malaysia,2015,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,4475.45557717884,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
MYS,Malaysia,2016,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,4567.39347999202,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
MYS,Malaysia,2017,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,4699.08742969233,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
MYS,Malaysia,2018,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,4778.80215430923,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
MYS,Malaysia,2019,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,4916.27003298625,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
MYS,Malaysia,2020,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,4738.24415178268,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
MYS,Malaysia,2021,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,4860.54082737909,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
MYS,Malaysia,2022,EG.USE.ELEC.KH.PC,electricity_kwh_per_capita,5240.96890624958,industrial_electricity_price (IEA gated),annual,True,P1,WorldBank_API_EG_USE_ELEC_KH_PC,2026-05-09
