country_iso3,country_name,year,indicator_code,indicator,corporate_tax_rate_pct,carry_forward,carry_forward_from,source_tier,period_granularity,synopsis_aligned,source_priority,data_source,retrieval_date
USA,United States,2021,TF_CIT_long_csv,corporate_tax_rate_pct,25.754568,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
USA,United States,2022,TF_CIT_long_csv,corporate_tax_rate_pct,25.808,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
USA,United States,2023,TF_CIT_long_csv,corporate_tax_rate_pct,25.768,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
USA,United States,2024,TF_CIT_carry_fwd_from_latest,corporate_tax_rate_pct,25.768,True,2023.0,TaxFoundation_carry_forward,annual,True,P3,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
VNM,Vietnam,2015,TF_CIT_long_csv,corporate_tax_rate_pct,22.0,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
VNM,Vietnam,2016,TF_CIT_long_csv,corporate_tax_rate_pct,22.0,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
VNM,Vietnam,2017,TF_CIT_long_csv,corporate_tax_rate_pct,20.0,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
VNM,Vietnam,2018,TF_CIT_long_csv,corporate_tax_rate_pct,20.0,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
VNM,Vietnam,2019,TF_CIT_long_csv,corporate_tax_rate_pct,20.0,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
VNM,Vietnam,2020,TF_CIT_long_csv,corporate_tax_rate_pct,20.0,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
VNM,Vietnam,2021,TF_CIT_long_csv,corporate_tax_rate_pct,20.0,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
VNM,Vietnam,2022,TF_CIT_long_csv,corporate_tax_rate_pct,20.0,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
VNM,Vietnam,2023,TF_CIT_long_csv,corporate_tax_rate_pct,20.0,False,,TaxFoundation_GitHub,annual,True,P1,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
VNM,Vietnam,2024,TF_CIT_carry_fwd_from_latest,corporate_tax_rate_pct,20.0,True,2023.0,TaxFoundation_carry_forward,annual,True,P3,TaxFoundation_GitHub_long_with_OECD_SDMX_2024_patch,2026-05-09
