year_month,fy,year,month,hs_code,segment,flow,total_trade_usd_million,hhi_country_concentration,top1_country_share_pct,top3_country_share_pct,num_partner_countries,data_source,retrieval_date
2018-08,2018-19,2018,8,8542,ICs,Export,20.64,2431.1,36.77,82.27,40,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-09,2018-19,2018,9,8486,Equipment,Export,0.68,2050.2,36.76,70.59,12,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-09,2018-19,2018,9,8541,Devices,Export,22.48,2314.1,41.37,71.66,54,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-09,2018-19,2018,9,8542,ICs,Export,28.47,7388.7,85.84,91.01,40,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-10,2018-19,2018,10,3818,Raw_Materials,Export,0.02,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-10,2018-19,2018,10,8486,Equipment,Export,0.46,1947.1,30.43,71.74,12,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-10,2018-19,2018,10,8541,Devices,Export,11.75,993.8,25.11,45.02,55,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-10,2018-19,2018,10,8542,ICs,Export,39.6,4267.8,63.66,81.57,39,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-11,2018-19,2018,11,3818,Raw_Materials,Export,0.04,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-11,2018-19,2018,11,8486,Equipment,Export,0.66,2015.6,30.3,69.7,9,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-11,2018-19,2018,11,8541,Devices,Export,8.92,603.1,14.01,33.74,50,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-11,2018-19,2018,11,8542,ICs,Export,12.31,1578.3,29.08,61.33,37,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-12,2018-19,2018,12,3818,Raw_Materials,Export,0.07,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-12,2018-19,2018,12,8486,Equipment,Export,0.55,1795.0,27.27,70.91,16,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-12,2018-19,2018,12,8541,Devices,Export,8.23,787.1,18.23,40.7,52,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2018-12,2018-19,2018,12,8542,ICs,Export,20.04,2072.1,41.07,61.53,39,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-01,2018-19,2019,1,3818,Raw_Materials,Export,0.01,10000.0,100.0,100.0,1,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-01,2018-19,2019,1,8486,Equipment,Export,0.93,2877.8,45.16,81.72,9,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-01,2018-19,2019,1,8541,Devices,Export,14.22,1667.1,35.72,58.86,49,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-01,2018-19,2019,1,8542,ICs,Export,20.18,2356.7,39.49,74.43,36,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-02,2018-19,2019,2,3818,Raw_Materials,Export,0.51,8554.4,92.16,100.0,2,DGFT_TRADESTAT_MEIDB_real,2026-05-09
2019-02,2018-19,2019,2,8486,Equipment,Export,1.01,2043.9,38.61,66.34,17,DGFT_TRADESTAT_MEIDB_real,2026-05-09
